log_id,user_id,log_date,minutes_active,features_used,support_tickets_opened
900001,1001,2026-01-28,24,2,0
900002,1001,2026-01-15,76,7,0
900003,1001,2026-02-15,88,6,1
900004,1001,2025-09-20,69,4,0
900005,1001,2025-04-28,95,5,0
900006,1002,2026-04-27,106,2,0
900007,1002,2026-05-27,115,2,1
900008,1002,2026-03-26,82,5,0
900009,1002,2026-05-30,43,2,0
900010,1002,2026-04-29,23,2,0
900011,1003,2025-12-26,27,5,1
900012,1003,2025-10-11,5,1,1
900013,1003,2025-10-18,29,3,2
900014,1003,2025-12-17,24,6,1
900015,1003,2025-10-16,28,5,1
900016,1004,2026-03-12,104,3,0
900017,1004,2026-03-29,80,5,0
900018,1004,2025-11-24,99,7,0
900019,1004,2026-01-13,35,6,0
900020,1004,2025-04-28,40,2,0
900021,1005,2025-03-18,24,1,1
900022,1005,2025-05-17,25,5,0
900023,1005,2025-04-19,10,7,1
900024,1005,2025-05-06,10,5,1
900025,1005,2025-04-28,29,6,0
900026,1006,2025-02-06,55,2,0
900027,1006,2025-02-13,110,1,1
900028,1006,2025-02-21,37,5,0
900029,1006,2025-02-15,118,4,0
900030,1006,2025-05-06,49,5,0
900031,1007,2025-12-31,69,6,0
900032,1007,2026-02-04,94,4,0
900033,1007,2025-11-11,48,3,0
900034,1007,2025-12-16,69,6,0
900035,1007,2025-08-27,28,3,0
900036,1008,2026-04-14,97,4,0
900037,1008,2026-04-22,40,2,0
900038,1008,2026-05-24,67,6,1
900039,1008,2026-05-02,115,2,0
900040,1008,2026-05-04,23,4,0
900041,1009,2025-10-22,117,6,0
900042,1009,2025-10-08,31,5,0
900043,1009,2025-10-07,42,5,0
900044,1009,2025-10-22,113,4,0
900045,1009,2025-12-22,100,6,0
900046,1010,2025-12-20,63,4,0
900047,1010,2026-01-22,90,7,1
900048,1010,2026-05-07,54,4,0
900049,1010,2026-02-27,101,6,1
900050,1010,2025-12-20,72,4,0
900051,1011,2026-05-22,91,7,0
900052,1011,2026-05-20,56,2,0
900053,1011,2026-04-10,111,7,0
900054,1011,2026-05-12,97,5,0
900055,1011,2026-05-23,101,4,1
900056,1012,2026-01-26,60,5,0
900057,1012,2025-11-17,97,4,0
900058,1012,2026-01-03,98,3,0
900059,1012,2025-07-10,87,3,0
900060,1012,2025-08-22,104,3,0
900061,1013,2026-04-22,67,2,0
