transaction_id,user_id,plan_id,billing_date,amount_paid,payment_status
50001,1001,2,2025-04-13,79.0,Success
50002,1001,2,2025-05-13,79.0,Success
50003,1001,2,2025-06-12,79.0,Success
50004,1001,2,2025-07-12,79.0,Success
50005,1001,2,2025-08-11,79.0,Success
50006,1001,2,2025-09-10,79.0,Success
50007,1001,2,2025-10-10,79.0,Success
50008,1001,2,2025-11-09,79.0,Success
50009,1001,2,2025-12-09,79.0,Success
50010,1001,2,2026-01-08,79.0,Success
50011,1001,2,2026-02-07,79.0,Success
50012,1001,2,2026-03-09,79.0,Success
50013,1002,1,2026-03-12,29.0,Success
50014,1002,1,2026-04-11,29.0,Success
50015,1002,1,2026-05-11,29.0,Success
50016,1003,3,2025-09-28,149.0,Success
50017,1003,3,2025-10-28,149.0,Success
50018,1003,3,2025-11-27,149.0,Success
50019,1004,3,2025-04-17,149.0,Success
50020,1004,3,2025-05-17,149.0,Success
50021,1004,3,2025-06-16,149.0,Success
50022,1004,3,2025-07-16,149.0,Success
50023,1004,3,2025-08-15,149.0,Success
50024,1004,3,2025-09-14,149.0,Success
50025,1004,3,2025-10-14,149.0,Success
50026,1004,3,2025-11-13,149.0,Success
50027,1004,3,2025-12-13,149.0,Success
50028,1004,3,2026-01-12,149.0,Success
50029,1004,3,2026-02-11,149.0,Success
50030,1004,3,2026-03-13,149.0,Success
50031,1005,3,2025-03-13,149.0,Success
50032,1005,3,2025-04-12,149.0,Success
50033,1005,3,2025-05-12,149.0,Success
50034,1006,2,2025-01-21,79.0,Success
50035,1006,2,2025-02-20,79.0,Success
50036,1006,2,2025-03-22,79.0,Success
50037,1006,2,2025-04-21,79.0,Success
50038,1006,2,2025-05-21,79.0,Success
50039,1006,2,2025-06-20,79.0,Success
50040,1007,1,2025-05-02,29.0,Success
50041,1007,1,2025-06-01,29.0,Success
50042,1007,1,2025-07-01,29.0,Success
50043,1007,1,2025-07-31,29.0,Success
50044,1007,1,2025-08-30,29.0,Success
50045,1007,1,2025-09-29,29.0,Success
50046,1007,1,2025-10-29,29.0,Success
50047,1007,1,2025-11-28,29.0,Success
50048,1007,1,2025-12-28,29.0,Success
50049,1007,1,2026-01-27,29.0,Success
50050,1007,1,2026-02-26,29.0,Success
50051,1007,1,2026-03-28,29.0,Success
50052,1007,1,2026-04-27,29.0,Success
50053,1007,1,2026-05-27,29.0,Success
50054,1008,2,2026-04-12,79.0,Success
50055,1008,2,2026-05-12,79.0,Success
50056,1009,1,2025-08-03,29.0,Success
50057,1009,1,2025-09-02,29.0,Success
50058,1009,1,2025-10-02,0.0,Failed
50059,1009,1,2025-11-01,29.0,Success
50060,1009,1,2025-12-01,29.0,Success
50061,1009,1,2025-12-31,29.0,Success
50062,1010,1,2025-11-27,29.0,Success
50063,1010,1,2025-12-27,29.0,Success
50064,1010,1,2026-01-26,29.0,Success
50065,1010,1,2026-02-25,29.0,Success
50066,1010,1,2026-03-27,29.0,Success
50067,1010,1,2026-04-26,29.0,Success
50068,1010,1,2026-05-26,0.0,Failed
50069,1011,1,2026-04-04,29.0,Success
50070,1011,1,2026-05-04,29.0,Success
50071,1012,1,2025-03-29,29.0,Success
50072,1012,1,2025-04-28,29.0,Success
50073,1012,1,2025-05-28,29.0,Success
50074,1012,1,2025-06-27,29.0,Success
50075,1012,1,2025-07-27,29.0,Success
50076,1012,1,2025-08-26,29.0,Success
50077,1012,1,2025-09-25,29.0,Success
50078,1012,1,2025-10-25,29.0,Success
50079,1012,1,2025-11-24,29.0,Success
50080,1012,1,2025-12-24,29.0,Success
50081,1012,1,2026-01-23,29.0,Success
50082,1012,1,2026-02-22,29.0,Success
50083,1012,1,2026-03-24,29.0,Success
50084,1012,1,2026-04-23,29.0,Success
50085,1012,1,2026-05-23,29.0,Success
50086,1013,2,2026-01-08,79.0,Success
50087,1013,2,2026-02-07,79.0,Success
50088,1013,2,2026-03-09,79.0,Success
50089,1013,2,2026-04-08,79.0,Success
50090,1013,2,2026-05-08,79.0,Success
50091,1014,2,2025-04-10,79.0,Success
50092,1014,2,2025-05-10,79.0,Success
50093,1014,2,2025-06-09,79.0,Success
50094,1014,2,2025-07-09,79.0,Success
50095,1014,2,2025-08-08,79.0,Success
50096,1014,2,2025-09-07,79.0,Success
50097,1015,1,2025-05-11,29.0,Success
50098,1015,1,2025-06-10,29.0,Success
50099,1015,1,2025-07-10,29.0,Success
50100,1015,1,2025-08-09,29.0,Success
50101,1015,1,2025-09-08,29.0,Success
50102,1015,1,2025-10-08,29.0,Success
50103,1015,1,2025-11-07,29.0,Success
50104,1015,1,2025-12-07,29.0,Success
50105,1015,1,2026-01-06,29.0,Success
50106,1015,1,2026-02-05,29.0,Success
50107,1015,1,2026-03-07,29.0,Success
50108,1015,1,2026-04-06,29.0,Success
50109,1015,1,2026-05-06,29.0,Success
50110,1016,1,2025-11-05,29.0,Success
50111,1016,1,2025-12-05,29.0,Success
50112,1016,1,2026-01-04,0.0,Failed
50113,1016,1,2026-02-03,29.0,Success
50114,1016,1,2026-03-05,29.0,Success
50115,1016,1,2026-04-04,29.0,Success
50116,1016,1,2026-05-04,29.0,Success
50117,1017,3,2025-12-10,0.0,Failed
50118,1017,3,2026-01-09,149.0,Success
50119,1017,3,2026-02-08,149.0,Success
50120,1017,3,2026-03-10,149.0,Success
50121,1017,3,2026-04-09,149.0,Success
50122,1017,3,2026-05-09,149.0,Success
50123,1018,1,2026-05-07,29.0,Success
50124,1019,1,2026-02-18,29.0,Success
50125,1019,1,2026-03-20,0.0,Failed
